reviews,ratings
"The hotel is undergoing refurbishment and the effects of this are not made clear on their web-site. They say that the refurbishment will be complete by the end of March but fail to say that until then; there is no restaurant and the bar is closed. You are offered the Garden View restaurant which is no better than a cafeteria, and the part of the restaurant that overlooks the garden is full of junk. The bar is simply part of the spa area and not what you should expect from a four star hotel. Don't book here unless you understand the situation, at least until the refurb is complete.",2
"What a lovely Hotel, elevated so you have great views over St Helier, you can walk in to the City Centre takes about 15 mins but worth the walk, plenty of free parking at the Hotel,  bedroom very spacious with good quality bathroom and the hotel offers one of the best spa's facilities I have been to extremely clean and tidy, staff very polite and accommodating. We hired a fiat 500 for the 3 days which was enough to get round the island, petrol cheaper than the UK, you can also use English money. So bottom line, nice hotel, nice people and great location",5
"My wife and I have been travelling to Hotel DeFrance for many years. Always enjoying our wedding anniversary. A warm welcome by the reception team.  A great hotel with fantastic helpful staff across all areas of the hotel, the staff are always there to help with a smile. This year Saffron’s Hotel closed earlier for the season and the Orangery was closed this impacted on our stay (hence 4 and not 5 stars, this generally hits 5 across the board). Having said that we will be returning; we just think this is an excellent hotel.",4
"we have just returned from 4 nights at this hotel.  My wife and i thoroughly enjoyed the experience.  The restuarant is excellent, the spa is very good, and most of the staff are all extremely polite, good at what they do, and make you feel completely at home. The rooms are large and airy, the bathrooms are fine. The beds are extremely comfortable.",5
"The balcony rooms are superb, spacious with a view across the rooftops to the sea. The bathroom is large with a walk-in shower and underfloor heating. Sited in the same modern building as the spa, it was very quiet and very clean. Only oddity was the slow lift with a strange lurch when you get in. Definitely recommend a balcony room.  The spa is wonderful with a large area to relax in around the various pools. Breakfast was good and the staff very friendly.",5
"I had attempted to book rooms at this hotel for a group of 4 friends, through a booking site, without success, so I decided to contact the hotel directly, which proved to be the best move I made! The man I spoke to was SO helpful, and we ended up with a double room each, with a lovely view, and they were so all really clean and so comfortable! The hotel had a relaxed and relaxing atmosphere, and from the first time we spoke to the reception staff, until the time we left, everyone was so friendly, and could not do enough for us. Unfortunately I did not eat in the restaurants, apart from breakfast, which was really well presented with loads of choice. I'll certainly be back, and would be really happy to recoomend this hotel to anyone who wants a hotel in St Helier.",5
"Spent a very pleasant three night stay in this splendid hotel. The impressive facade of the building gives you an insight to what you can expect when you step inside. The large reception area is imposing and staffed by friendly, helpful people. We were initially booked in for two nights and our first room was large and comfortable with its own balcony with a view across the St. Helier skyline. There was a wonderful bathroom with a walk in shower. Due to impending bad weather our ferry crossing was cancelled and rescheduled so we had to request an extra night, which the lady in reception kindly arranged. We had to move rooms, this one was equally well furnished with an extremely large bed. There was a good selection for breakfast each morning and we eat in the Garden View…",5
"My third visit to this hotel and I have never been disappointed.The hotel is spacious with wide and long corridors and so never has the feeling of busy! Restaurants and bar, reception, salon and access to the Spa is on two floors. Breakfast which my favourite meal of the day, was always very good with a good selection and the staff efficiently replenished trays and cleared tables. We ate a couple of times in the Garden View Restaurant and again food and service was good. The Spa is superb, with different pools, steam room and sauna. Clearly popular with the locals as everyday I turned up, someone was buying Spa vouchers. Unfortunately, I had a bad limp during the visit and did not venture out into the gardens but could see them from our room. Our room and bed were all very…",5
"We returned to the Hotel de France after 30 years, revisited this hotel with fond memories, obviously there have been changes and improvements, especially to the spa. We had a wonderful room with a balcony of views over the town and sea. It was very clean, spacious and we had everything we needed. Great shower and bath.  We were surprised on our return to find flowers, prosecco and fruit from the hotel. How special that was. The staff were always polite, friendly and professional. Breakfast was plentiful with lots of choice for everyone. Great coffee machine too.  Thank you for making our stay so special. We hope we can return again soon, perhaps in the summer months.",4
"Lovely friendly staff, rooms spacious and clean. Quiet and calm hotel. Walking distance to town centre. Food fantastic. Spa facilities amazing. Shuttle bus into town was handy.  Outdoor patio area with comfy furniture to sit and have a drink or food and lawn area with sun loungers to enjoy the sun.  Staff always on hand to help you with anything.",5
"Four colleagues and I stayed at the Hotel de France for just one night. Excellent hotel in a great location with a superb restaurant, Saffrons within. Perfect menu, great choice of wines and spot on service. Will stay there again the next time we visit.",5
"My husband and I stayed at the hotel for 7 nights earlier this month. When you walk into the hotel, you do feel like you are walking into a 4 star hotel. It is very glamorous and the spa is amazing however the rooms are so outdated and in need of renovation to fit their 4 star rating. The rooms are so simple I would compare it to a standard travel lodge or premier in. The food in the morning never changed and it became quite boring after 4 days. We also had lunch in the hotel which I would not recommend. I had a wrap which was tasteless and the chips were Luke warm. In hein sight we would have been better off somewhere else as the price we paid was definitely not worth the room/food.",3
"I stayed with my fiancé for the weekend in September.   Pros:  The is a very pretty hotel; we had a very large room, which had a big bathroom and a very pretty view. The Spa was excellent with really lovely facilities. It is well located and easy to get to- we walked back to the hotel from the harbor very easily one afternoon.   Cons:  Breakfast seemed poor compared to other hotels of a similar value. There were no clean glasses for juice and the range of food was limited.  We were treated very poorly by the night staff when we came in late one night. We were quizzed on our room numbers, guests names etc- pretty much inferring that one or the other of us had picked the other up in town for a bit of fun! (which was reiterated by the manager we complained to who said they did it…",2
"I stayed at the Hotel De France for two nights in a single room. Getting to the hotel from the airport requires two buses - or one if you walk from the bus station with your case which would take about 25 minutes with the final stretch being up steep steps. Other guests told me they paid £23 for a taxi from the airport (at a busy time). You can get the hotel shuttle bus into town and there is a bus stop outside but I would have preferred a city centre hotel. There are few buses on the hotel route after 6 ish. The single room on the second floor was quiet and clean and had everything that was needed. I have noticed the very positive reviews of the spa- I wish I had visited it. There was no information regarding the spa in my room. So finally, perhaps this is a particularly good…",3
"Pool area surpasses expectation, loved it especially massage pool. Food from the Garden View restaurant was always good quality with nice service. Room was adequate, not luxury. The lounge bar had the surliest barman and most awful music, not designed to welcome their clients, very off putting! ",3
"No problem with our room it had everything that we needed.Breakfast was disappointing.Only milk on offer was full fat.We had to queue to use the machine for tea and coffee.Not what you would expect from a 4* hotel.The food provided in the Garden restaurant was of very poor quality ,limited choice on the menu and expensive. When I booked I did mention that we were celebrating my husband’s 70th birthday.We had no acknowledgement of this.The hotel seemed very impersonal.Our stay was not special.",3
"We decided to book here for a weekend break initially because the price was much more reasonable than the hotels which were recommended to us in central St helier. After driving through St helier on route to the hotel we knew we had made the right choice.  The hotel is spacious, fabulous service and the spa facilities and fitness suite really are the cherry on the top!  A great breakfast selection, drinks menu and spa treatments - if desired at an additional cost.  The walk into town is probably about 15 mins to a vast selection of restaurants or 20 mins to liberation Square.  Definitely a better choice than the busy, squashed hotels on the front. ",5
"Very quick check in for a single room as on business. The room was old fashioned with no view and very small. I would not recommend this size of room as it is not much extra to pay for a double room.  Breakfast had a good selection, however, coffee tasted awful.  Had a meal in the brasserie which was quite good and after that walked into town to different restaurants.  Did not use the spa but it looked very nice and friendly staff.  Was able to sit out on the terrace after work which was pleasant and relaxing.",3
"We have just returned from a 3 night stay at this  hotel located on the outskirts of town in St Helier.  We were given a room on the top floor which was rather small and extremely hot with no air con and a pretty useless fan! It didn’t help the temperature was 30 degrees that weekend! However it was kept very clean, the beds were comfortable and they provided tea and coffee making facilities. We ate in the garden view restaurant the first evening as we arrived late. It was lovely to sit outside under the heaters as inside felt more like a cafe. The food was very good here. The breakfast was what you’d expect from a breakfast buffet with lots of choice. The pastries were delicious and very fresh. You had to get your own tea and coffee from the machine but the coffees were as good…",5
"A beautiful hotel, 15 - 20 minutes walk from the centre of St. Hellier. unfortunately we had a rear room so the view was not good but this did not matter as we only slept in it. The public rooms are all very well fitted and it certainly gives off an air of a very expensive hotel without the 5 star price. There is a large terrace where you can relax with drinks or a meal and there is a lovely secluded garden with sun loungers. Food prices, we thought were a bit on the high side so did not eat there but the drinks are reasonable and the complimentary breakfast offered a remarkable choice of hot and cold food from a help yourself buffet. The staff are very friendly and nothing is too much trouble for them. There is a bus stop right outside the hotel and they also offer a free…",5
"We went to Jersey for a long weekend stay with my parents. Unfortunately this hotel was not at all what we expected from a 4* hotel. Despite the hotel itself being a very grand and well presented place, the service was disappointing and at times quite unfriendly.   We were given 2 rooms on the top floor which we expected would have beautiful views. My parents had a nice view over St. Helier but our room, overlooked a roof. Nevertheless, the view was the last thing we were worried about as we couldn’t even open our curtains in order to keep the heat out. We could not sleep because of the heat, it was horrible. There was no air conditioning and being in the loft area of the hotel, meant that we were suffocated by the heat. We spoke to the staff at reception who did not seem to…",2
"Staying here at present and from the minute we arrived I thought this is a tired looking hotel.We paid extra for a superior room and it's okay -- but nothing special.The breakfast organisation is really on a par with a Holiday Inn but not quite as good .4 star hotels don't expect their guests to get their own tea and coffee.There is a machine for making toast but it needs replacing  because in order to get something resembling toast and not just warm bread you need to let it go round at least 4 times.Surely they could afford one that actually works.There is an expression ""all fur coat and no knickers"" which really does sum up this hotel.",3
"I had stayed here some years ago and had a beautiful room so was looking forward to returning.  What a shock we got when we saw the dated, cramped room with no view and no air con.  The fan was useless and we were unable to sleep due to the heat.  The carpet was ancient.  The bathroom very dated and poky. For a hotel of this  advertised calibre the rooms do not match and neither do the pictures showing the hotel bedrooms.  These rooms on 3rd floor badly need updating and air con.  However the room was very clean.  The breakfast is good but you have to get your coffee and at times there are queues and the same for the toaster.  The terrace is nice and also the gardens but the hotel is a considerable walk from the centre of St Helier and there is no signage for the hotel so…",2
"There was a fairly strong smell of vomit in our room and, although we were immediately moved, there was no apology from staff.  We asked for a taxi to be booked for our journey to the airport and this was not booked. Again, there was no apology and no sign of urgency despite us repeatedly asking at the desk how long the taxi would be.   Generally the hotel was dated and, in our opinion, undeserving of the 4*. We stayed in a 3* chain hotel the evening before and, if anything, thought it was slightly better. Would not return",2
I booked this through an airline as a single traveller - was quite surprised to see that I had been allocated a single bed and a tiny room. The bathroom was also very small and the sink very low so I wondered if it was for children. If it is I wouldn't put adults in there.I also had an adjoining room which as a solo traveller made me feel a bit nervous. I did not ask for this and wish I had asked to be moved.  The linen on the bed was OK although the pillows were very flat - I asked for another one at reception and offered to take it up with me to be told 'I have to find one first' so not quite sure where they keep their pillows!  The breakfast was OK but the fried eggs were terribly over-cooked and had obviously been sitting there a long time. You also have to do your own tea…,3
"Classed as a 4 star hotel,up a steep hill situated behind a medical centre and and multi story car park, a real shame when the outside of the hotel looked quite impressive. Staff were pleasant and helpful room was ok shower over bath no bath mat and quite slippy to get out of, dangerous if your even a little unsteady. The breakfast room was like sitting in a department store cafe (not a good one) and the breakfast was basic no service for tea and coffee had to queue at coffee machine for too long.  Pool and outside terrace was a lovely area. shuttle bus provided by hotel as a little way from town centre.",3
I stayed here in late July/August with my mother. We had a medical emergency on the night we arrived and I have to say that the hotel reception staff were great. They helped us to get to see a doctor and later moved us rooms so that in the hot weather we had air conditioning. All of the front of house staff were friendly and helpful throughout our stay. The waiting staff in the Garden View restaurant were pleasant and happy to chat. The shuttle bus drivers were always on time and courteous. The bar staff and the staff in Saffron were also very good. Overall I would say that the hotel should be congratulated on the training of their staff as they are a credit to them. The rooms are serviceable and comfortable; cleaned everyday and with the basics that you would want. Food at…,4
"Stayed here for a week  ( business and pleasure). Great room and stunning pool and spa. Staff friendly and attentive. Breakfast room beautiful and wonderful food. Not sure why the star rating isn’t 5?  Although it’s slightly out of the centre, the hotel provides a shuttle bus and the hotel is actually on a bus route.  Great experience we will be back! ",5
booked here in febuary for july few friends had stayed well didn't know what to expect well could not fault  lovely polite staff in fact all staff clean and lovely spacious room with a view an balcony food was excellent ate twice in and lovely tried the spa treatment as a treat for my wife couldn't  fault that either thanks for  a lovely break thank you   ,5
"My husband and I have stayed at the Hotel de France approx. 6/7 times over the years and always enjoyed our visits. However, now our holidays have changed from 'couples holidays' to 'family holidays' we have noticed a big difference. We stayed there last summer for 4 nights and again just last month for 4 nights in the family suite. We cannot fault the hotel for its location, beauty and quality of food but this was our last holiday there as a family. We found over the 4 days the staff only spoke to the children on check-out. Not one member of staff made an effort to speak to the children at breakfast, in the spa and around the hotel in general. In particular the spa/pool area was a very uncomfortable place to come, the staff looked very displeased with the children using the…",3
"This was a girls weekend. The three of us shared a triple bed room. It was spacious, very clean and comfortable. No problems there. But the highlight for us was the pool and the terrace dining. We got lucky with the weather and so spent most of a day swimming and sunbathing. The two pools are big, and although indoors, they look out on the gardens and it’s an easy step outside to the sun loungers. They do not serve drinks or food by the sun loungers which was the only drawback - I do love a frozen pina colada by the pool.  We had several meals on the sun terrace which is very pretty. This is a lovely hotel. ",5
"A really nice hotel set in a quiet location. The staff couldn’t be accommodating enough, especially the front of desk staff.  The wellness facilities were a really nice bonus and my daughter absolutely loved the swimming pools! Parking was excellent as there were no hidden costs and plenty of spaces at all times.  Breakfast buffet was brilliant with great choices!  We will definitely be returning next year!",5
We stayed at the hotel for a short break and so we could have a central base to look around Jersey.  The hotel facilities are great - with a wonderful spa complex and gym.  The swimming pool was warm with massage pools and a cold plunge pool for when you come out of the sauna.  The gardens are magnificent and extremely quiet tucked well away fro the road 300m below the hotel.  We stayed in the new spa wing which had the most comfortable beds and the quietest air conditioning I have experienced (needed with 36 degree temperature in Jersey during our stay!).  The food in the Saffron restaurant was fine dining with an Indian twist - which would cause a problem if you didn't like spicy food (we do and the standard was exceptional).  I think the only criticism I could level would be…,5
"Apart from the steep incline to reach the hotel, I cant fault it! From the best leisure centre & pools I have ever used,  to the excellent food & service, they have thought of everything- even a courtesy bus to & from St Helier! Thank you to all staff!",5
"Stayed here on numerous occasions throughout July 2019.Great hotel, great breakfast options, great room service. Excellent swimming pool many other facilitiesike gym etc but didn't use. Would definetly recommend a stay here for business or pleasure. ",5
Enjoyed a weekend stay there. Very clean and comfortable. Breakfast was excellent and staff were very helpful. Only criticism would be no bottled water or easy access to fresh chilled water in the room! ,4
"We have just had 2 night at this fantastic hotel. The atmosphere is relaxed, the hotel is immaculate,  drinks reasonable, breakfast very good.  Staff were all really nice everyone helpful. We stayed for my sister and BIL 20th anniversary and we will never forget it. Prosecco was very much appreciated in hotel room! Helped with lovely weather our stay was just brilliant. We Will all definitely return. Thank you Hotel de France",5
First time at this hotel stayed 4 nights. Very clean hotel. Our room was a good size on the 4th floor with lovely views. The breakfast was plentiful lots of choices. The spa was amazing. Swimming pool was a good size we used the spa every evening. It  is about 15 to 20 minute walk to the town centre or you can catch the shuttle bus. We always walked in to St Helier.,4
"We staid for 2 night. Staff are very friendly and helpful. Rooms are spacious with a nice view. Unfortunately no air conditioning in the room.  Breakfast was mediocre, basic but not all to our taste. The line for coffee was endless (2 machines for all +/-200 guests)....as it served also the tea drinkers for hot water. A point to improve.  Location is off center but there is a shuttle service.  Nice place to relax.",4
"This is one of the staple establishment hotels on the island. Well regarded and well run and in a good location. It’s big and has good facilities and food, the staff are very nice and efficient. The gym is especially good and it has a spa there too. Breakfast is well made and relaxed, a bit like most of the island to be honest. My only negative would be dinner. There are 2-3 restaurants in the building all of which are excessively expensive for not excessively good food. There are long tasting menus with about 5 courses that start at £65 per head before drinks then a very limited a la carte menu. If you are vegetarian you will have maybe one to two choices max that weren’t all that great.  The island itself is quite diverse but the food isn’t, if you like English or French or…",4
"Flying visit, to catch up with my son who currently works as a Chef at the Hotel. Hotel excellent, clean, staff friendly and accommodating. Slightly biased but the meals I had were excellent!  Well worth staying there whilst visiting this beautiful island.",5
"I have just stayed here as part of a business trip. My room was large, comfortable and well appointed. I had a lovely big desk whilst I had to work and a sea view to take my mind off it. The hotel itself has an impressive facade, essential revolving door and spacious vestibule with sweeping staircase. You immediately feel that you have been transported to a time where service was still important.  The check in staff were very helpful giving exactly the right amount of help. The provision of a shuttle bus into town is a nice touch. I had a very comfortable night in a huge bed, breakfast was very tasty and offered a wide range to suit all tastes. I would happily stay here again. A really lovely hotel.",5
Just returned from a 9 night holiday at this hotel and absolutely loved it! It’s within a 20 minute walk of st Helier but has a courtesy bus that stops right outside. There’s also a bus stop close by with buses that travel all round the island even quite late. We hired a car so didn’t use them but lots of people we spoke to did. The hotel is spotlessly clean and the staff very friendly and helpful. We had a few evening meals and lunches in the garden terrace restaurant and loved every one! We also used the spa quite a bit and had two treatments which were amazing. I would say it’s more geared towards adults and was lovely and quiet sitting on the outside terrace. It has a beautiful garden with sun loungers and there are more outside the spa area. If you want peace and relaxation…,5
"I loved absolutely everything about Hotel De France, it was by far the best hotel I have ever stayed at.  From start to finish the staff were first class throughout, be that at reception, in the bars and restaurants or even at the gym, I literally have nothing bad to say about them.  The hotel was, as expected, brilliant and the staff took into account my preference for a city-facing room (I was given the rooftop double-room with excellent views over St Helier and beyond).  It was as grand as you see on the information section and I very much liked the Brasserie where I ate for 2 out of the 3 nights I was staying there, with the relaxed settings, optional outdoor seating and BBQ in the summer!  As a solo traveller I did not feel awkward once and the staff were very attentive to…",5
"Location is elevated so the views are good, the standard rooms are on the small side & air con is not standard ! It is what it is.... the decor is dated as a whole & I was advised the spa rooms are the best this hotel can offer.. Now to the best part; The spa itself is a place of tranquil harmony, excellent facilities in good ; well maintained condition. The treatments are professionally delivered by well trained an expert team. Kavita is an exceptional therapist. Could not recommend her highly enough. ",4
"Just back from a week's stay at this lovely hotel, very friendly and helpful staff. Rooms very clean. Good selection for breakfast and lovely evening meals. They also have a shuttle bus into town three times a day as it's between a 15 - 25 minute walk into town depending on which way you walk. Would highly recommend.",5
"First time at this Hotel , excellent from the minute we arrived , beautiful building outside and inside ..we stayed in a spa room but extra but well worth it , plenty of space and your own balcony with views over St Helier....The spa was five star , used the pool etc all the facilities twice a day it was amazing so relaxing ... we ate five nights in the garden restaurant good choices, food was very good , service was impeccable  well managed place staff so polite and efficient  as was all the staff at the hotel from reception to the housekeepers so polite, Breakfast was excellent once again good choice and well presented ,overall I would highly recommend this place and would hope without hesitation to book it again on our return to Jersey ,  Thank you for a wonderful stay ....  ",5
"First impression the hotel exterior is very grand, nice reception, friendly staff, then you get to your room.  Very dated decor, single room was not fit for a paying guest more suited to a staff room in an emergency. Window view was a corregated roof, holes in the window blind, no mini bar, no slippers (remember this is a 4 star spa hotel). Shower over a bath. Poor lighting in the room.  Then we get to the breakfast room.  This needs to be shut down for a complete refurbishment.  Turquoise carpet and chairs, orange walls, tatty furniture, all quite depressing.   We had one evening meal in the terrace restaurant, good steaks but served on wooden boards that had seen better days.  We had to tell the kitchen this was a hotbed for bacteria they accepted this and ensured us this…",3
We spent just over a week in the Hotel.  Satisfied with all aspects.  Good sized bed room with bright bathroom.  All clean and well maintained.  Had a few satisfactory meals in the Garden View restaurant.  Nice swimming pool and good sized public rooms.  Bit far out of town so would benefit with more courtesy bus trips.  Breakfast was good but they are in need of one or two more toast machine as the single machine was always a source of congestion.  Also items would often run out and it would take a little time to replenish - more staff needed?  Excellent WiFi throughout the Hotel.  Would be happy to stay again if visiting Jersey.,5
"What a beautiful Chateau-style façade. How on earth did it get hidden on all sides by these rubbish developments? Our room - for a budget break - was perfectly acceptable. We weren't expecting a 'view' and we didn't get one. The public spaces are grand, the staff approachable and the swimming/spa facilities excellent. But oh the abysmal food {breakfast aside}. A ridiculously expensive SouthAsian-style fine dining experience or an overpriced everyday 'bistro' ie fish and chips/burgers. Eat out is my advice.",3
"Great hotel, staff very friendly.  There are only 10 spa rooms which are lovely, even if only a small balcony but adequate, but a great view.  Lots of hanging/storage space and very airy.  Large bathroom with walk in shower and a bath.  Room very convenient for the spa, which is one of the best spa’s I have seen.  Plenty of beds inside and out.  We booked for 7 nights but could only be accommodated in a spa room for 5, but transferred to an executive room for 2 nights. This room is a lot smaller and the wardrobe has virtually no hanging space due to the iron/iron board and also the safe which stands on top of three shelves, also the shower is over the bath. Does have a large sofa and chair and the view is just as good.  Only negative for me is that the dining room decor does not…",4
The exterior and reception area of the hotel are most impressive as are all the public areas it’s just a shame that the rooms are not to quite the same standard. Single rooms are quite small in size with minimal furnishings. Walls are very thin and conversation from adjoining rooms could be clearly heard.  Very expensive to eat or even drink in the hotel as all prices are subject to a 10% service charge which is not advertised although it is discretionary.  Each room is given a voucher for 10% off dining but it can only be used once.  Some of the staff were not the friendliest but the majority were very helpful.  Easy walking distance of the town centre but personally I wouldn’t choose to stay here again. ,3
Stayed at hotel de France to celebrate 60th birthday. Was allocated very nice room and bottle of prosecco on arrival.  Lovely meal in saffron restaurant.  About 20 minute walk to bus station.  Would visit again. ,5
"A typical French decor and ambiance. A history connected to motor racing and maintained. All rooms are named after a famous driver and individually decorated.  Very friendly staff, with nothing too much trouble. Central location for roaming the Loire Valley. 40 minutes by car, across country roads to Tours as an example.",4
"What a magnificent hotel Where do one begin to sing the praises of such a grand hotel, their staff from management to cleaners, waiters, bar staff and to everyone who we met and talked to. You are all an asset to the hotel. Room we stayed in was clean, spacious, Bed comfortable and more of all the bathroom was spotless and the shower was luxurious. Whatever I write will never suffice to describe how lucky we were to have chosen this hotel for the stay. Thanks for the lovely time  Ramsurn Family   ",5
"Recently stayed with family for 3 nights in two inter-connecting rooms on fourth floor.  Although it was only the end of May, the rooms were very warm - the heating was off, the windows were wide open.  No air-conditioning.  I think it would be very uncomfortable in full summer.  The rooms were comfortable and very clean - a bottle of water would be a nice addition.  The bathrooms were very small.    Breakfast is served in the Orangery which was, in contrast, freezing - take a jumper with you!    We only ate breakfast at the hotel - there was an excellent range of food on offer.  The vast majority of the staff were charming - attentive, very helpful.    The spa facilities were lovely - full use of the pool, massage pool and steam room/sauna.  On the couple of days we visited,…",4
"Our 5 night stay at HDF was an absolute delight: far exceeded our expectations. Very comfortable room: charming and helpful staff both front of house, restaurants, in fact everywhere. Food was excellent although we ate mostly in the Garden Room: Saffrons came highly recommended and we must try next visit. Breakffast was excellent. Easy, shortish walk to town centre, but ask reception for quickest route. Hotel provides shuttle bus which runs at regular intervals but not on Sunday",5
"We spent 4 nights here last week in one of the spa rooms  and thoroughly enjoyed our stay. The  room was lovely and had a wonderful view over St Helier . The bathroom was lovely and roomy with a wet room shower area. Under floor heating made it very comfortable . We ate in the Garden Restaurant and have to mention Christina who was very helpful and remembered our drinks order from the previous evening. Impressed!  The breakfast room was fine, but it was unfortunate that there were no windows. A bit dark . All the staff were very friendly and helpful.",5
"Having staying at the de France several times before, I contacted the hotel and requested a particular room and thanks to  Dionne Britton, we got the room we wanted.  As usual the service the hotel offers was second to none, and as further proof of that, when we left something in our room after checking out, the hotel arranged for it to be sent on to us. Can't recommend this hotel enough, thank you. ",5
"Our room with a view was very nice. The restaurant on site had excellent service, great food and a quaint atmosphere. The Spa is a very relaxing experience after a day of exploring the island. All hotel staff were friendly and attended to our every request with a positive, helpful attitude. We usually walked to town but did use the shuttle once and it did drop you right in the center of town.  We truly enjoyed our stay at the Hotel de France.",5
"I have just returned from a weekend break with my sisters to the Hotel de France in St Helier Jersey..   We all really enjoyed our stay at this hotel, the staff could not do enough to help and were extremely friendly .. The rooms were very pleasant, lovely view, beds comfortable..We ate at the Garden View restaurant each night and were impressed with the efficient friendly service there and the food was tasty too.",4
"This is a very good hotel. We had a wonderful large room,with a balcony. There was a very nice bathroom with a large bath and a walk in shower. Very good choice for breakfast,too many items to list. Without exception,all of the staff we encountered were very helpful and cheery. Would absolutely not hesitate to stay again. ",5
"A little too far from the town to walk but the hotel does offer a shuttle bus to and from the centre during the day.  There is much of the old world charm with an interesting history  and beautiful architecture.  The hotel is clean in all areas.  Very appealing, varied and and tasty breakfast (fresh croissants- delicious) with happy staff and the best poached eggs (no water residue and obviously very fresh as the egg yoke was a deep orange yellow).   Views from the hotel at the front looking over St Helier are amazing.    The bar area by the Saffron restaurant is elegant yet cosy.  Reception staff excellent with warm professional welcome.  I would definitely stay in this hotel again as I didn't get a chance to use the spa and pool which looked amazing.    ",5
"I was here for a couple of days on business and was very impressed; luxurious room and setting, good facilities, very helpful staff, good food, wonderful swimming pool/spa complex.  Highly recommended and good value.",5
"Being an older ‘hen’ we wanted relaxation and comfort.  We got this and more.  The hotel is beautifully decorated, very clean and all the staff went above and beyond and were the best.  Their customer service is exceptional from front of house to the maid service.  Plenty to do and plenty of space to not be on top of everyone.  Spa facilities exceptional.  We will be back.  Well done Hotel de France",5
